Title,Type,Eps,Season,Year,Day,Timeslot,Source,Runtime,Rating,Score,Popularity,Sequel,Studio,Genres,Producers,Licensors
Fullmetal Alchemist: Brotherhood,TV,64,Spring,2009,Sundays,17:00,Manga,24,R,9.25,"1,030,092",FALSE,Bones,"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen","Aniplex,SquareEnix,MainichiBroadcastingSystem,StudioMoriken","Funimation,AniplexofAmerica"
Gintama°,TV,51,Spring,2015,Wednesdays,18:00,Manga,24,R,9.19,"167,077",TRUE,BandaiNamcoPictures,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen","TVTokyo,Aniplex,Dentsu",
Steins;Gate,TV,24,Spring,2011,Wednesdays,2:05,Visualnovel,24,PG-13,9.15,"874,690",FALSE,WhiteFox,"Sci-Fi,Thriller","FrontierWorks,MediaFactory,Movic,AT-X,KadokawaPicturesJapan,Nitroplus",Funimation
Gintama',TV,51,Spring,2011,Mondays,18:00,Manga,24,PG-13,9.13,"191,385",TRUE,Sunrise,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen","TVTokyo,Aniplex,Dentsu,TrinitySound,MiracleRobo,StudioJack,Shueisha",
Hunter x Hunter (2011),TV,148,Fall,2011,Sundays,10:55,Manga,23,PG-13,9.12,"604,294",FALSE,Madhouse,"Action,Adventure,SuperPower,Shounen","VAP,NipponTelevisionNetwork,Shueisha",VizMedia
Owarimonogatari 2nd Season,TV,7,Summer,2017,,,Lightnovel,22,R,9.1,"79,056",TRUE,Shaft,"Mystery,Comedy,Supernatural","Aniplex,Kodansha",AniplexofAmerica
Gintama': Enchousen,TV,13,Fall,2012,Thursdays,18:00,Manga,24,PG-13,9.08,"107,519",TRUE,Sunrise,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen","TVTokyo,Aniplex,Dentsu,Shueisha,MiracleBus",
Clannad: After Story,TV,24,Fall,2008,Fridays,1:59,Visualnovel,24,PG-13,9.03,"550,820",TRUE,KyotoAnimation,"Drama,Fantasy,Romance,SliceofLife,Supernatural","PonyCanyon,TBS,Rakuonsha,AnimationDo",SentaiFilmworks
Gintama.,TV,12,Winter,2017,Mondays,1:35,Manga,24,PG-13,9.03,"72,320",TRUE,BandaiNamcoPictures,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen","TVTokyo,Aniplex,Dentsu,Shueisha",
Gintama,TV,201,Spring,2006,Thursdays,18:00,Manga,24,PG-13,9.02,"413,213",FALSE,Sunrise,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen","TVTokyo,Aniplex,Dentsu,TrinitySound,AudioHighs,MiracleRobo,Shueisha","SentaiFilmworks,Crunchyroll"
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,10,Fall,2016,Saturdays,1:55,Manga,24,PG-13,9.01,"200,473",TRUE,ProductionI.G,"Comedy,Sports,Drama,School,Shounen","TOHOanimation,Shueisha",SentaiFilmworks
Code Geass: Hangyaku no Lelouch R2,TV,25,Spring,2008,Sundays,17:00,Original,24,R,8.96,"708,124",TRUE,Sunrise,"Action,Drama,Mecha,Military,Sci-Fi,SuperPower","BandaiVisual,MainichiBroadcastingSystem,Bandai,BandaiNamcoEntertainment,HakuhodoDYMediaPartners","Funimation,BandaiEntertainment"
Made in Abyss,TV,13,Summer,2017,Fridays,21:30,Webmanga,25,R,8.92,"160,160",FALSE,KinemaCitrus,"Sci-Fi,Adventure,Mystery,Drama,Fantasy","MediaFactory,AT-X,Takeshobo,SonyMusicCommunications,KadokawaMediaHouse,Cygames,KanetsuCo.,LTD.",SentaiFilmworks
Haikyuu!! Second Season,TV,25,Fall,2015,Sundays,2:58,Manga,24,PG-13,8.89,"277,775",TRUE,ProductionI.G,"Comedy,Sports,Drama,School,Shounen","TOHOanimation,Shueisha",SentaiFilmworks
Shigatsu wa Kimi no Uso,TV,22,Fall,2014,Fridays,1:20,Manga,22,PG-13,8.89,"602,108",FALSE,A-1Pictures,"Drama,Music,Romance,School,Shounen","Aniplex,Dentsu,Kodansha,FujiTV,KyorakuIndustrialHoldings",AniplexofAmerica
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Winter,2017,Saturdays,2:25,Manga,24,PG-13,8.87,"57,615",TRUE,StudioDeen,"Drama,Josei","MainichiBroadcastingSystem,Kodansha,DAXProduction,KingRecords",
Mushishi Zoku Shou 2nd Season,TV,10,Fall,2014,Sundays,0:30,Manga,23,PG-13,8.85,"102,398",TRUE,Artland,"Adventure,Fantasy,Historical,Mystery,Seinen,SliceofLife,Supernatural","Aniplex,Kodansha,DelfiSound",AniplexofAmerica
Hajime no Ippo,TV,75,Fall,2000,Tuesdays,0:50,Manga,23,PG-13,8.81,"201,079",FALSE,Madhouse,"Comedy,Sports,Drama,Shounen",VAP,GeneonEntertainmentUSA
Boku no Hero Academia 2nd Season,TV,25,Spring,2017,Saturdays,17:30,Manga,23,PG-13,8.8,"391,723",TRUE,Bones,"Action,Comedy,SuperPower,School,Shounen","Dentsu,YomiuriTelecasting,Movic,SonyMusicEntertainment,TOHOanimation,Shueisha",Funimation
Code Geass: Hangyaku no Lelouch,TV,25,Fall,2006,Fridays,1:25,Original,24,R,8.8,"882,623",FALSE,Sunrise,"Action,Mecha,Military,School,Sci-Fi,SuperPower","BandaiVisual,MainichiBroadcastingSystem,Bandai,SonyMusicEntertainment,BandaiNamcoEntertainment,HakuhodoDYMediaPartners","Funimation,BandaiEntertainment"
Mushishi Zoku Shou,TV,10,Spring,2014,Saturdays,0:00,Manga,24,PG-13,8.78,"129,477",TRUE,Artland,"Adventure,SliceofLife,Mystery,Historical,Supernatural,Fantasy,Seinen","Aniplex,Kodansha,DelfiSound",AniplexofAmerica
Natsume Yuujinchou Roku,TV,11,Spring,2017,Wednesdays,1:35,Manga,23,PG-13,8.78,"50,459",TRUE,Shuka,"SliceofLife,Supernatural,Drama,Fantasy,Shoujo","TVTokyo,Aniplex,NihonAdSystems,Hakusensha",
Monogatari Series: Second Season,TV,26,Summer,2013,Sundays,0:00,Lightnovel,24,R,8.77,"267,663",TRUE,Shaft,"Mystery,Comedy,Supernatural,Romance,Vampire","Aniplex,Kodansha,CycloneGraphicsinc",AniplexofAmerica
Mushishi,TV,26,Fall,2005,Sundays,3:40,Manga,25,PG-13,8.76,"366,918",FALSE,Artland,"Adventure,Fantasy,Historical,Mystery,Seinen,SliceofLife,Supernatural","AvexEntertainment,Marvelous,SKYPerfectWellThink,DelfiSound",Funimation
One Punch Man,TV,12,Fall,2015,Mondays,1:05,Webmanga,24,R,8.75,"836,044",FALSE,Madhouse,"Action,Sci-Fi,Comedy,Parody,SuperPower,Supernatural,Seinen","TVTokyo,BandaiVisual,Lantis,AsatsuDK,Banpresto,GoodSmileCompany,Shueisha,EastJapanMarketing&Communications",VizMedia
Tengen Toppa Gurren Lagann,TV,27,Spring,2007,Sundays,8:30,Original,24,PG-13,8.75,"699,539",FALSE,Gainax,"Action,Adventure,Comedy,Mecha,Sci-Fi","TVTokyo,Aniplex,Dentsu,Konami,HalfH.PStudio,Bandai","BandaiEntertainment,AniplexofAmerica"
Natsume Yuujinchou Shi,TV,13,Winter,2012,Tuesdays,1:30,Manga,24,PG-13,8.74,"121,380",TRUE,Brain'sBase,"SliceofLife,Supernatural,Drama,Fantasy,Shoujo","TVTokyo,Aniplex,NihonAdSystems,Hakusensha,SonyMusicEntertainment","NISAmerica,Inc."
Hajime no Ippo: New Challenger,TV,26,Winter,2009,Wednesdays,1:29,Manga,23,PG-13,8.73,"111,847",TRUE,Madhouse,"Comedy,Sports,Drama,Shounen","VAP,Kodansha,NipponTelevisionNetwork",
Monster,TV,74,Spring,2004,Wednesdays,0:40,Manga,24,R+,8.69,"312,740",FALSE,Madhouse,"Drama,Horror,Mystery,Police,Psychological,Seinen,Thriller","VAP,ShogakukanProductions,NipponTelevisionNetwork",VizMedia
Bakuman. 3rd Season,TV,25,Fall,2012,,,Manga,24,PG-13,8.68,"164,933",TRUE,J.C.Staff,"Comedy,Drama,Romance,Shounen","NHK,Shueisha",
Death Note,TV,37,Fall,2006,Wednesdays,0:56,Manga,23,R,8.68,"1,282,888",FALSE,Madhouse,"Mystery,Police,Psychological,Supernatural,Thriller","VAP,Konami,AshiProduction,NipponTelevisionNetwork,Shueisha",VizMedia
Fate/Zero 2nd Season,TV,12,Spring,2012,Sundays,0:00,Lightnovel,24,R,8.68,"439,660",TRUE,ufotable,"Action,Supernatural,Thriller,Fantasy","Aniplex,Nitroplus,Seikaisha,Notes",AniplexofAmerica
Ansatsu Kyoushitsu (TV) 2nd Season,TV,25,Winter,2016,Fridays,1:25,Manga,23,PG-13,8.66,"301,035",TRUE,Lerche,"Action,Comedy,School,Shounen","Dentsu,FujiTV,DAXProduction,AvexPictures,Shueisha,KansaiTelecasting",Funimation
Haikyuu!!,TV,25,Spring,2014,Sundays,17:00,Manga,24,PG-13,8.67,"410,489",FALSE,ProductionI.G,"Comedy,Sports,Drama,School,Shounen","MainichiBroadcastingSystem,TOHOanimation,Shueisha",SentaiFilmworks
Hajime no Ippo: Rising,TV,25,Fall,2013,Sundays,1:35,Manga,22,PG-13,8.67,"89,153",TRUE,"Madhouse,MAPPA","Comedy,Sports,Drama,Shounen","VAP,Kodansha,NipponTelevisionNetwork",
Natsume Yuujinchou San,TV,13,Summer,2011,Tuesdays,1:30,Manga,24,PG-13,8.66,"127,346",TRUE,Brain'sBase,"Drama,Fantasy,Shoujo,SliceofLife,Supernatural","Aniplex,SakuraCreate","NISAmerica,Inc."
Yojouhan Shinwa Taikei,TV,11,Spring,2010,Fridays,0:45,Novel,23,R,8.66,"160,199",FALSE,Madhouse,"Mystery,Psychological,Romance","Dentsu,KadokawaShoten,FujiTV,Toho,AsmikAceEntertainment,TohokushinshaFilmCorporation,SonyMusicEntertainment,FujiPacificMusicPublishing",Funimation
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,Spring,2016,Saturdays,0:30,Manga,23,R,8.65,"141,222",TRUE,DavidProduction,"Action,Adventure,Comedy,Supernatural,Drama,Shounen","WarnerBros.,KlockWorx,MedicosEntertainment,Shueisha",VizMedia
Natsume Yuujinchou Go,TV,11,Fall,2016,Wednesdays,1:35,Manga,23,PG-13,8.65,"69,003",TRUE,Shuka,"SliceofLife,Supernatural,Drama,Fantasy,Shoujo","TVTokyo,Aniplex,NihonAdSystems,Hakusensha",
Ping Pong The Animation,TV,11,Spring,2014,Fridays,0:50,Manga,23,PG-13,8.65,"127,132",FALSE,TatsunokoProduction,"Psychological,Seinen,Sports","Aniplex,Dentsu,FujiTV,KyorakuIndustrialHoldings",Funimation
Shouwa Genroku Rakugo Shinjuu,TV,13,Winter,2016,Saturdays,2:25,Manga,26,PG-13,8.63,"120,685",FALSE,StudioDeen,"Drama,Historical,Josei","StarchildRecords,MainichiBroadcastingSystem,Kodansha,DAXProduction",
Zoku Natsume Yuujinchou,TV,13,Winter,2009,Tuesdays,1:00,Manga,24,PG-13,8.63,"136,742",TRUE,Brain'sBase,"Drama,Fantasy,Shoujo,SliceofLife,Supernatural","Aniplex,NihonAdSystems","NISAmerica,Inc."
Rainbow: Nisha Rokubou no Shichinin,TV,26,Spring,2010,,,Manga,22,R,8.61,"176,105",FALSE,Madhouse,"Drama,Historical,Seinen,Thriller","VAP,NipponTelevisionNetwork",Funimation
Aria The Origination,TV,13,Winter,2008,Tuesdays,2:00,Manga,24,G,8.6,"65,702",TRUE,HalFilmMaker,"Fantasy,Sci-Fi,Shounen,SliceofLife","TVTokyo,Shochiku,MagGarden",NozomiEntertainment
Boku dake ga Inai Machi,TV,12,Winter,2016,Fridays,0:55,Manga,23,R,8.58,"590,239",FALSE,A-1Pictures,"Mystery,Psychological,Seinen,Supernatural","Aniplex,Dentsu,KadokawaShoten,FujiTV,DAXProduction,KyorakuIndustrialHoldings,KansaiTelecasting,Lawson",AniplexofAmerica
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,24,Winter,2015,Saturdays,0:30,Manga,23,R,8.57,"151,642",TRUE,DavidProduction,"Action,Adventure,Drama,Shounen,Supernatural","YomikoAdvertising,WarnerBros.,KlockWorx",VizMedia
Kuroko no Basket 3rd Season,TV,25,Winter,2015,Sundays,1:58,Manga,24,PG-13,8.57,"249,607",TRUE,ProductionI.G,"Comedy,Sports,School,Shounen","BandaiVisual,Lantis,NihonAdSystems,Banpresto,Shueisha,BS11",
Uchuu Kyoudai,TV,99,Spring,2012,Sundays,7:00,Manga,24,PG-13,8.57,"89,096",FALSE,A-1Pictures,"Comedy,Sci-Fi,Seinen,SliceofLife,Space","Aniplex,Dentsu,YTV,TrinitySound",SentaiFilmworks
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,Spring,2011,Fridays,1:15,Original,22,PG-13,8.56,"586,945",FALSE,A-1Pictures,"SliceofLife,Supernatural,Drama","Aniplex,Dentsu,FujiTV,FujiPacificMusicPublishing","NISAmerica,Inc.,AniplexofAmerica"
Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,26,Winter,2004,,,Manga,25,R,8.56,"137,054",TRUE,ProductionI.G,"Action,Military,Sci-Fi,Mystery,Police,Mecha,Seinen","BandaiVisual,Dentsu,VictorEntertainment,TokumaShoten","BandaiEntertainment,MangaEntertainment"
Shokugeki no Souma,TV,24,Spring,2015,Saturdays,2:25,Manga,25,PG-13,8.56,"508,204",FALSE,J.C.Staff,"Ecchi,School,Shounen","Dentsu,FrontierWorks,MainichiBroadcastingSystem,MagicCapsule,WarnerBros.,KlockWorx,Showgate,Shueisha,IWill",SentaiFilmworks
Major S5,TV,25,Winter,2009,,,Manga,24,PG-13,8.55,"34,356",TRUE,SynergySP,"Comedy,Drama,Romance,Sports",NHK,
Kiseijuu: Sei no Kakuritsu,TV,24,Fall,2014,Thursdays,1:29,Manga,23,R,8.54,"580,945",FALSE,Madhouse,"Action,Sci-Fi,Horror,Psychological,Drama,Seinen","VAP,Kodansha,NipponTelevisionNetwork,ForecastCommunications",SentaiFilmworks
Saiki Kusuo no Ψ-nan (TV),TV,120,Summer,2016,,,Manga,5,PG-13,8.54,"95,717",FALSE,"J.C.Staff,EggFirm","Comedy,Supernatural,School,Shounen","TVTokyo,ShogakukanProductions,PonyCanyon,NipponColumbia,KlockWorx,AsmikAceEntertainment,Shueisha",Funimation
Mob Psycho 100,TV,12,Summer,2016,Tuesdays,0:00,Webmanga,24,PG-13,8.53,"380,672",FALSE,Bones,"Action,SliceofLife,Comedy,Supernatural","WarnerBros.,KlockWorx,BSFuji,HakuhodoDYMusic&Pictures,Shogakukan",Funimation
Usagi Drop,TV,11,Summer,2011,Fridays,0:45,Manga,22,PG-13,8.53,"240,611",FALSE,ProductionI.G,"Josei,SliceofLife","FujiTV,TohokushinshaFilmCorporation,SonyMusicEntertainment,SakuraCreate,FujiPacificMusicPublishing","NISAmerica,Inc."
Kingdom 2nd Season,TV,39,Summer,2013,Sundays,23:45,Manga,25,R,8.52,"40,487",TRUE,StudioPierrot,"Action,Military,Historical,Seinen",NHK,Funimation
Kuroko no Basket 2nd Season,TV,25,Fall,2013,Sundays,1:58,Manga,24,PG-13,8.52,"311,795",TRUE,ProductionI.G,"Comedy,Sports,School,Shounen","BandaiVisual,Lantis,NihonAdSystems,Banpresto,Shueisha,BS11",
Nana,TV,47,Spring,2006,,,Manga,23,R+,8.52,"238,839",FALSE,Madhouse,"Comedy,Drama,Music,Romance,Shoujo,SliceofLife","VAP,NipponTelevisionNetwork,Shueisha",VizMedia
Nichijou,TV,26,Spring,2011,,,Manga,23,PG-13,8.52,"330,445",TRUE,KyotoAnimation,"SliceofLife,Comedy,School","Lantis,KadokawaShoten,Movic,Rakuonsha,KadokawaPicturesJapan,KlockWorx,AnimationDo","Funimation,BandaiEntertainment"
Shingeki no Kyojin Season 2,TV,12,Spring,2017,Saturdays,22:00,Manga,24,R,8.52,"504,379",TRUE,WitStudio,"Action,SuperPower,Drama,Fantasy,Shounen","ProductionI.G,Dentsu,MainichiBroadcastingSystem,PonyCanyon,Kodansha,MadBox,ShingekinoKyojinTeam,PonyCanyonEnterprise",Funimation
Baccano!,TV,13,Summer,2007,Fridays,0:30,Lightnovel,24,R,8.51,"437,614",FALSE,Brain'sBase,"Action,Mystery,Comedy,Historical,Supernatural","Aniplex,SakuraCreate,HappinetPictures","Funimation,AniplexofAmerica"
Cross Game,TV,50,Spring,2009,,,Manga,23,PG-13,8.51,"64,170",FALSE,SynergySP,"Comedy,Drama,Romance,School,Sports","TVTokyo,ShogakukanProductions",
Shingeki no Kyojin,TV,25,Spring,2013,Sundays,1:58,Manga,24,R,8.51,"1,173,812",FALSE,WitStudio,"Action,Military,SuperPower,Drama,Fantasy,Shounen","ProductionI.G,Dentsu,MainichiBroadcastingSystem,PonyCanyon,Kodansha,MadBox,ShingekinoKyojinTeam,PonyCanyonEnterprise",Funimation
Bakuman. 2nd Season,TV,25,Fall,2011,Saturdays,17:30,Manga,24,PG-13,8.5,"183,581",TRUE,J.C.Staff,"Comedy,Drama,Romance,Shounen","NHK,Shueisha",MediaBlasters
Samurai Champloo,TV,26,Spring,2004,Saturdays,10:30,Original,24,R,8.5,"484,809",FALSE,Manglobe,"Action,Adventure,Comedy,Historical,Samurai,Shounen","VictorEntertainment,FujiTV,BarnumStudio,TokumaShoten,flyingDOG","Funimation,GeneonEntertainmentUSA"
Shinsekai yori,TV,25,Fall,2012,Saturdays,0:30,Novel,22,R,8.5,"362,765",FALSE,A-1Pictures,"Sci-Fi,Mystery,Horror,Psychological,Supernatural,Drama","Aniplex,TVAsahi,PonyCanyon",SentaiFilmworks
Barakamon,TV,12,Summer,2014,,,Webmanga,22,PG-13,8.48,"291,530",FALSE,KinemaCitrus,"Comedy,SliceofLife","VAP,NipponTelevisionNetwork",Funimation
Chihayafuru 2,TV,25,Winter,2013,,,Manga,22,PG-13,8.48,"104,001",TRUE,Madhouse,"Game,SliceofLife,Sports,Drama,Josei","VAP,NipponTelevisionNetwork",SentaiFilmworks
Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,Spring,2016,Mondays,1:05,Lightnovel,25,R,8.48,"591,158",FALSE,WhiteFox,"Psychological,Drama,Thriller,Fantasy","TVTokyo,MediaFactory,KadokawaShoten,AT-X,MagicCapsule,Memory-Tech,HakuhodoDYMusic&Pictures",
Fate/Zero,TV,13,Fall,2011,Sundays,0:00,Lightnovel,28,R,8.47,"586,536",FALSE,ufotable,"Action,Supernatural,Fantasy","Aniplex,Nitroplus,Seikaisha,Notes",AniplexofAmerica
Mahou Shoujo Madoka★Magica,TV,12,Winter,2011,Fridays,1:25,Original,24,PG-13,8.47,"569,697",FALSE,Shaft,"Drama,Magic,Psychological,Thriller","Aniplex,MainichiBroadcastingSystem,Movic,Nitroplus,MadokaPartners,Houbunsha",AniplexofAmerica
Major S6,TV,25,Spring,2010,,,Manga,24,PG-13,8.47,"29,799",TRUE,SynergySP,"Comedy,Drama,Sports",NHK,
Mononoke,TV,12,Summer,2007,,,Original,22,R,8.47,"112,613",TRUE,ToeiAnimation,"Mystery,Historical,Horror,Demons,Supernatural,Fantasy,Seinen",FujiTV,FlatironFilmCompany
Psycho-Pass,TV,22,Fall,2012,Fridays,0:45,Original,23,R,8.47,"659,817",FALSE,ProductionI.G,"Action,Police,Psychological,Sci-Fi","Dentsu,FujiTV,Nitroplus,SonyMusicEntertainment,KyorakuIndustrialHoldings",Funimation
Ghost in the Shell: Stand Alone Complex,TV,26,Fall,2002,,,Manga,25,R,8.46,"232,891",FALSE,ProductionI.G,"Action,Military,Sci-Fi,Police,Mecha,Seinen","BandaiVisual,Dentsu,VictorEntertainment,Kodansha,TrilogyFutureStudio,TokumaShoten,NipponTelevisionNetwork","BandaiEntertainment,MangaEntertainment"
Katanagatari,TV,12,Winter,2010,Tuesdays,1:10,Lightnovel,50,R,8.46,"257,179",FALSE,WhiteFox,"Action,Adventure,Historical,MartialArts,Romance","Aniplex,Lantis,Kodansha,Movic,FujiTV","NISAmerica,Inc."
Magi: The Kingdom of Magic,TV,25,Fall,2013,,,Manga,25,PG-13,8.46,"324,332",TRUE,A-1Pictures,"Action,Adventure,Fantasy,Magic,Shounen","Aniplex,Dentsu,ShogakukanProductions,MainichiBroadcastingSystem,Movic,GYAO!",AniplexofAmerica
Shirobako,TV,24,Fall,2014,Thursdays,23:30,Original,24,PG-13,8.46,"196,272",FALSE,P.A.Works,"Comedy,Drama","Sotsu,Movic,WarnerBros.,KlockWorx,Showgate,Infinite",SentaiFilmworks
Shokugeki no Souma: Ni no Sara,TV,13,Summer,2016,Saturdays,22:00,Manga,24,PG-13,8.46,"310,400",TRUE,J.C.Staff,"Ecchi,School,Shounen","Dentsu,Lantis,MainichiBroadcastingSystem,KlockWorx,Showgate,Shueisha",SentaiFilmworks
Kino no Tabi: The Beautiful World,TV,13,Spring,2003,Tuesdays,18:30,Lightnovel,24,R,8.45,"128,596",FALSE,A.C.G.T.,"Action,Adventure,SliceofLife,Psychological","WOWOW,Genco,PonyCanyon,StudioWombat,chara-ani.com,ASCIIMediaWorks","ADVFilms,SentaiFilmworks"
Sakamichi no Apollon,TV,12,Spring,2012,Fridays,0:45,Manga,22,PG-13,8.45,"176,290",FALSE,"TezukaProductions,MAPPA","Drama,Josei,Music,Romance,School","Dentsu,FujiTV,Toho,DAXProduction,SonyMusicEntertainment",SentaiFilmworks
Diamond no Ace: Second Season,TV,51,Spring,2015,Mondays,18:00,Manga,24,PG-13,8.44,"50,977",TRUE,"ProductionI.G,Madhouse","Comedy,Sports,School,Shounen","TVTokyo,Sotsu",
JoJo no Kimyou na Bouken (TV),TV,26,Fall,2012,Saturdays,0:30,Manga,24,R,8.44,"280,873",FALSE,DavidProduction,"Action,Adventure,Supernatural,Vampire,Shounen","YomikoAdvertising,WarnerBros.,KlockWorx",VizMedia
Kemono no Souja Erin,TV,50,Winter,2009,,,Novel,25,PG-13,8.44,"44,699",FALSE,"ProductionI.G,TransArts","SliceofLife,Drama,Fantasy",NHK,
Ookami to Koushinryou II,TV,12,Summer,2009,,,Lightnovel,24,PG-13,8.44,"251,691",TRUE,"Brain'sBase,MarvyJack","Adventure,Historical,Romance,Fantasy","Imagin,flyingDOG",Funimation
Owarimonogatari,TV,12,Fall,2015,Sundays,0:00,Lightnovel,26,R,8.44,"160,760",TRUE,Shaft,"Mystery,Comedy,Supernatural",Aniplex,AniplexofAmerica
No Game No Life,TV,12,Spring,2014,Wednesdays,21:30,Lightnovel,23,PG-13,8.43,"827,508",FALSE,Madhouse,"Game,Adventure,Comedy,Supernatural,Ecchi,Fantasy","FrontierWorks,MediaFactory,Movic,AT-X",SentaiFilmworks
Nodame Cantabile,TV,23,Winter,2007,Fridays,Unknown,Manga,22,PG-13,8.43,"184,422",FALSE,J.C.Staff,"Music,SliceofLife,Comedy,Drama,Romance,Josei","Dentsu,Genco,Kodansha,FujiTV,MagicCapsule,SonyMusicEntertainment,FujiPacificMusicPublishing",
Noragami Aragoto,TV,13,Fall,2015,Saturdays,1:05,Manga,24,PG-13,8.43,"451,759",TRUE,Bones,"Action,Adventure,Shounen,Supernatural","Dentsu,Shochiku,Kodansha,AiAddiction,AvexPictures,A-Sketch",Funimation
Boku no Hero Academia,TV,13,Spring,2016,Sundays,17:00,Manga,24,PG-13,8.42,"571,083",FALSE,Bones,"Action,Comedy,School,Shounen,SuperPower","Dentsu,MainichiBroadcastingSystem,Movic,TOHOanimation,Shueisha",Funimation
Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,Spring,2015,Sundays,0:00,Visualnovel,23,R,8.42,"286,027",TRUE,ufotable,"Action,Supernatural,Magic,Fantasy","Aniplex,Notes",AniplexofAmerica
Toradora!,TV,25,Fall,2008,Thursdays,1:20,Lightnovel,24,PG-13,8.41,"805,077",FALSE,J.C.Staff,"SliceofLife,Comedy,Romance,School","Genco,StarchildRecords,MagicCapsule,YomiuriAdvertising,TVTokyoMusic","NISAmerica,Inc."
Kuroko no Basket,TV,25,Spring,2012,Sundays,1:58,Manga,24,PG-13,8.4,"430,105",FALSE,ProductionI.G,"Comedy,School,Shounen,Sports","BandaiVisual,Lantis,NihonAdSystems,MainichiBroadcastingSystem,Banpresto,Shueisha,BS11",
Natsume Yuujinchou,TV,13,Summer,2008,Tuesdays,1:00,Manga,24,PG-13,8.4,"261,654",FALSE,Brain'sBase,"SliceofLife,Supernatural,Drama,Fantasy,Shoujo","Aniplex,NihonAdSystems,TVTokyoMusic,SonyMusicEntertainment","NISAmerica,Inc."
One Outs,TV,25,Fall,2008,,,Manga,23,PG-13,8.4,"103,953",FALSE,Madhouse,"Sports,Psychological,Seinen","VAP,NipponTelevisionNetwork",
Major S1,TV,26,Fall,2004,Saturdays,18:00,Manga,25,PG-13,8.39,"48,746",FALSE,StudioHibari,"Comedy,Sports,Drama,Shounen","ShogakukanProductions,NHK",
NHK ni Youkoso!,TV,24,Summer,2006,,,Novel,24,R+,8.39,"349,048",FALSE,Gonzo,"Comedy,Psychological,Drama,Romance","NHK,VictorEntertainment","ADVFilms,Funimation"
Beck,TV,26,Fall,2004,Thursdays,1:30,Manga,25,R,8.38,"171,621",FALSE,Madhouse,"Comedy,Drama,Music,Shounen,SliceofLife","Marvelous,StarchildRecords,AsatsuDK,Kodansha",Funimation
Fate/stay night: Unlimited Blade Works,TV,12,Fall,2014,Sundays,0:00,Visualnovel,28,R,8.37,"362,330",TRUE,ufotable,"Action,Supernatural,Magic,Fantasy","Aniplex,Notes",AniplexofAmerica
Higurashi no Naku Koro ni Kai,TV,24,Summer,2007,Fridays,2:30,Visualnovel,24,R,8.37,"251,554",TRUE,StudioDeen,"Mystery,Psychological,Supernatural,Thriller",GeneonUniversalEntertainment,SentaiFilmworks
Major S2,TV,26,Winter,2006,,,Manga,25,PG-13,8.37,"36,271",TRUE,StudioHibari,"Comedy,Drama,Shounen,Sports",NHK,
Major S3,TV,26,Winter,2007,,,Manga,25,PG-13,8.37,"34,901",TRUE,StudioHibari,"Drama,Shounen,Sports",NHK,
Planetes,TV,26,Fall,2003,Saturdays,8:05,Manga,25,PG-13,8.37,"126,000",FALSE,Sunrise,"Drama,Romance,Sci-Fi,Seinen,Space","BandaiVisual,NHK",BandaiEntertainment
Tsuki ga Kirei,TV,12,Spring,2017,Fridays,0:00,Original,24,PG-13,8.37,"119,755",FALSE,feel.,"Romance,School","Sotsu,MainichiBroadcastingSystem,flyingDOG",Funimation
Bakemonogatari,TV,15,Summer,2009,Fridays,23:00,Lightnovel,24,R,8.36,"595,195",FALSE,Shaft,"Mystery,Supernatural,Romance,Vampire","Aniplex,Kodansha",AniplexofAmerica
Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,Winter,2017,Thursdays,1:05,Lightnovel,23,PG-13,8.36,"315,643",TRUE,StudioDeen,"Adventure,Comedy,Supernatural,Magic,Fantasy","KadokawaShoten,NipponColumbia,KlockWorx,SonyMusicCommunications,Toranoana,81Produce,KadokawaMediaHouse",
Nodame Cantabile Finale,TV,11,Winter,2010,Fridays,0:45,Manga,22,PG-13,8.36,"78,959",FALSE,J.C.Staff,"Comedy,Josei,Music,Romance","FujiTV,SonyMusicEntertainment",
Ouran Koukou Host Club,TV,26,Spring,2006,Wednesdays,0:50,Manga,23,PG-13,8.36,"496,405",FALSE,Bones,"Comedy,Harem,Romance,School,Shoujo","VAP,Hakusensha,NipponTelevisionNetwork",Funimation
