Title,Type,Eps,Season,Year,Day,Timeslot,Source,Runtime,Rating,Score,Popularity,Sequel,Studio,Genres,Producers,Licensors
Highschool of the Dead,TV,12,Summer,2010,Mondays,11:30,Manga,24,R+,7.39,"660,663",FALSE,Madhouse,"Action,Horror,Supernatural,Ecchi","GeneonUniversalEntertainment,AT-X,Showgate",SentaiFilmworks
Inazuma Eleven Go: Chrono Stone,TV,51,Spring,2012,Wednesdays,19:00,Game,23,G,7.39,"16,161",TRUE,OLM,"Sports,SuperPower,Shounen","Nonefound,addsome",
Isekai Shokudou,TV,12,Summer,2017,Tuesdays,1:35,Lightnovel,23,PG-13,7.39,"71,183",FALSE,SilverLink.,"Mystery,Comedy,Fantasy","TVTokyo,Sotsu,flyingDOG,Nikkatsu,AvexPictures,Crunchyroll,DaiNipponPrinting,Shufunotomo",Funimation
Kakumeiki Valvrave 2nd Season,TV,12,Fall,2013,,,Original,24,R,7.39,"63,851",TRUE,Sunrise,"Action,Space,Mecha","Aniplex,Dentsu,MainichiBroadcastingSystem,Movic,Bandai,BandaiNamcoEntertainment",AniplexofAmerica
Noir,TV,26,Spring,2001,Fridays,1:15,Original,24,PG-13,7.39,"73,551",FALSE,BeeTrain,"Action,Mystery,Drama",VictorEntertainment,"ADVFilms,Funimation"
Onihei,TV,13,Winter,2017,Tuesdays,2:05,Novel,23,R,7.39,"23,575",FALSE,M2,"Historical,Seinen","TVTokyo,TMSEntertainment,Bungeishunjuu,JidaigekiChannel",
Ore no Imouto ga Konnani Kawaii Wake ga Nai,TV,12,Fall,2010,Sundays,23:30,Lightnovel,24,PG-13,7.39,"384,412",FALSE,AICBuild,"SliceofLife,Comedy","Aniplex,Movic,ASCIIMediaWorks,Jumondo",AniplexofAmerica
Phi Brain: Kami no Puzzle - Orpheus Order-hen,TV,25,Spring,2012,,,Original,25,PG-13,7.39,"33,630",TRUE,Sunrise,"Action,Game,Mystery,Shounen",NHK,SentaiFilmworks
Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,TV,25,Fall,2013,,,Original,25,PG-13,7.39,"23,606",TRUE,Sunrise,"Action,Game,Mystery,Shounen",NHK,SentaiFilmworks
Potemayo,TV,12,Summer,2007,,,4-komamanga,24,PG-13,7.39,"12,493",FALSE,J.C.Staff,"Comedy,School,Seinen",Lantis,
Sousei no Onmyouji,TV,50,Spring,2016,Wednesdays,18:25,Manga,24,PG-13,7.39,"190,761",FALSE,StudioPierrot,"Action,Supernatural,Fantasy,Shounen","TVTokyo,NihonAdSystems,TVTokyoMusic,AvexPictures,Shueisha",Crunchyroll
The Third: Aoi Hitomi no Shoujo,TV,24,Spring,2006,,,Lightnovel,23,R,7.39,"15,529",FALSE,Xebec,"Action,Adventure,Sci-Fi,Seinen","Nonefound,addsome","NozomiEntertainment,KadokawaPicturesUSA"
Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,TV,12,Summer,2007,Fridays,Unknown,Visualnovel,24,R,7.39,"24,223",TRUE,AICSpirits,"Action,Mystery,Horror,Drama,MartialArts,Fantasy,School","Nonefound,addsome","ADVFilms,Funimation"
Top Secret: The Revelation,TV,26,Spring,2008,,,Manga,22,R+,7.39,"13,082",FALSE,Madhouse,"Sci-Fi,Mystery,Police,Psychological,Shoujo",VAP,
07-Ghost,TV,25,Spring,2009,,,Manga,23,PG-13,7.38,"140,716",FALSE,StudioDeen,"Action,Demons,Fantasy,Josei,Magic,Military",Ichijinsha,DiscotekMedia
Cardfight!! Vanguard: Link Joker-hen,TV,59,Winter,2013,Sundays,10:00,Original,24,PG-13,7.38,"10,774",TRUE,TMSEntertainment,"Action,Adventure,Demons,Game,Shounen","TVTokyo,Dentsu,Sotsu,Bushiroad",
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,TV,24,Spring,2011,Sundays,6:30,Original,25,PG,7.38,"14,588",TRUE,ToeiAnimation,"Action,Adventure,Fantasy,Comedy,Shounen",TVAsahi,FlatironFilmCompany
Fate/kaleid liner Prisma☆Illya 2wei Herz!,TV,10,Summer,2015,Saturdays,1:40,Manga,23,PG-13,7.38,"57,399",TRUE,SilverLink.,"Action,SliceofLife,Comedy,Magic,Fantasy","Lantis,KadokawaShoten,AT-X,DAXProduction,KlockWorx,TokyoMX,KadokawaMediaHouse",SentaiFilmworks
Mai-Otome,TV,26,Fall,2005,Fridays,1:30,Original,24,PG-13,7.38,"39,054",FALSE,Sunrise,"Comedy,Drama,Fantasy,Magic","BandaiVisual,Lantis,TVTokyoMusic","Funimation,BandaiEntertainment"
